SIC,SIC Title (and note),2002 NAICS,2002 NAICS Title
1531,Operative Builders (residential operative remodelers),236118,Residential Remodelers
1531,"Operative Builders (Operative builders of industrial and manufacturing buildings except grain elevators, dry cleaning plants, and manufacturing and industrial warehouses)",236210,Industrial Building Construction
1531,"Operative Builders (grain elevator, dry cleaning plant, and manufacturing and industrial warehouse operative builders)",236220,Commercial and Institutional Building Construction
1541,"General Contractors Industrial Buildings and Warehouses ( except grain elevators; drycleaning plants; and manufacturing, public, and industrial warehouses)",236210,Industrial Building Construction
1541,"General Contractors - Industrial Buildings and Warehouses (general contractors of grain elevators; dry cleaning plants; and manufacturing, industrial, and public warehouses)",236220,Commercial and Institutional Building Construction
1542,"General Contractors - Nonresidential Buildings, Other than Industrial Buildings and Warehouses",236220,Commercial and Institutional Building Construction
1611,"Highway and Street Construction, Except Elevated Highways",237310,"Highway, Street, and Bridge Construction"
1622,"Bridge, Tunnel, and Elevated Highway Construction (bridge and elevated highway construction) ",237310,"Highway, Street, and Bridge Construction"
1622,"Bridge, Tunnel, and Elevated Highway Construction (tunnel construction)",237990,Other Heavy and Civil Engineering Construction
1623,"Water, Sewer, Pipeline, and Communications and Power Line Construction (water and sewer pipelines and related construction)",237110,Water and Sewer Line and Related Structures Construction
1623,"Water, Sewer, Pipeline, and Communications and Power Line Construction (gas and oil pipelines, mains, and pumping stations)",237120,Oil and Gas Pipeline and Related Structures Construction
1623,"Water, Sewer, Pipeline, and Communications and Power Line Construction (power and communications transmission lines)",237130,Power and Communication Line and Related Structures Construction
1629,"Heavy Construction, NEC (Industrial nonbuilding structures [except petrochemical plants and petroleum refineries])",236210,Industrial Building Construction
1629,"Heavy Construction NEC (irrigation systems, sewage treatment plants, and water treatment plants)",237110,Water and Sewer Line and Related Structures Construction
1629,"Heavy Construction, NEC (petrochemical plants and refineries)",237120,Oil and Gas Pipeline and Related Structures Construction
1629,"Heavy Construction, NEC (power generation plants [except hydroelectric dams], transmission stations, and distribution stations)",237130,Power and Communication Line and Related Structures Construction
1629,"Heavy Construction, NEC (except industrial nonbuilding structures, irrigation systems, sewage and water treatment plants, petrochemical plants and refineries, power generation plants [except hydroelectric dams] transmission and distribution stations, right-of-way clearing, line slashing, blasting, and trenching)",237990,Other Heavy and Civil Engineering Construction
1629,"Heavy Construction, NEC (right-of-way clearing and line slashing, blasting, and trenching)",238910,Site Preparation Contractors
1711,"Plumbing, Heating, and Air-Conditioning (environmental control installation contractors)",238210,Electrical Contractors
1711,"Plumbing, Heating, and Air-Conditioning (except environmental controls installation; and septic tank, cesspool, and dry well construction)",238220,"Plumbing, Heating, and Air-Conditioning Contractors"
1711,"Plumbing, Heating, and Air-Conditioning (septic tank, cesspool, and dry well construction contractors)",238910,Site Preparation Contractors
1721,Painting and Paper Hanging (traffic lane painting),237310,"Highway, Street, and Bridge Construction"
1721,Painting and Paper Hanging,238320,Paint and Wall Covering Contractors
1731,Electrical Work (electrical work except burglar and fire alarm installation),238210,Electrical Contractors
1741,"Masonry, Stone Setting, and Other Stone Work",238140,Masonry Contractors
1742,"Plastering, Drywall, Acoustical, and Insulation Work",238310,Drywall and Insulation Contractors
1743,"Terrazzo, Tile, Marble, and Mosaic Work (fresco work)",238310,Drywall and Insulation Contractors
1743,"Terrazzo, Tile, Marble, and Mosaic Work (except fresco work)",238340,Tile and Terrazzo Contractors
1751,Carpentry Work (framing carpentry),238130,Framing Contractors
1751,Carpentry Work (finish carpentry),238350,Finish Carpentry Contractors
1752,"Floor Laying and Other Floor Work, NEC ",238330,Flooring Contractors
1761,"Roofing, Siding, and Sheet Metal Work (roofing contractors)",238160,Roofing Contractors
1761,"Roofing, Siding, and Sheet Metal Work (siding contractors)",238170,Siding Contractors
1761,"Roofing, Siding, and Sheet Metal Work (except roofing and siding work)",238390,Other Building Finishing Contractors
1771,"Concrete Work (concrete work except stucco work and asphalt, brick, and paving)",238110,Poured Concrete Foundation and Structure Contractors
1771,Concrete Work (stucco work),238140,Masonry Contractors
1771,"Concrete Work (asphalt, brick, and concrete paving)",238990,All Other Specialty Trade Contractors
1781,Water Well Drilling,237110,Water and Sewer Line and Related Structures Construction
1791,Structural Steel Erection (structural steel work),238120,Structural Steel and Precast Concrete Contractors
1791,Structural Steel Erection (curtain wall installation and metal furring installation),238190,"Other Foundation, Structure, and Building Exterior Contractors"
1791,Structural Steel Erection (cooling tower installation),238220,"Plumbing, Heating, and Air-Conditioning Contractors"
1793,Glass and Glazing Work,238150,Glass and Glazing Contractors
1794,Excavation Work,238910,Site Preparation Contractors
1795,Wrecking and Demolition Work,238910,Site Preparation Contractors
1796,"Installation or Erection of Building Equipment, NEC (scrubber, dust collection, and other industrial ventilation installation)",238220,"Plumbing, Heating, and Air-Conditioning Contractors"
1796,"Installation or Erection of Building Equipment, NEC (installation of equipment not elsewhere specified such as central vacuum cleaning systems and dumb waiters)",238290,Other Building Equipment Contractors
1799,"Special Trade Contractors, NEC (indoor swimming pool construction contractors)",236220,Commercial and Institutional Building Construction
1799,"Special Trade Contractors, NEC (anchored earth retention contractors)",237990,Other Heavy and Civil Engineering Construction
1799,"Special Trade Contractors, NEC (glass tinting work)",238150,Glass and Glazing Contractors
1799,"Special Trade Contractors, NEC (forming contractors and ornamental metal work contractors)",238190,"Other Foundation, Structure, and Building Exterior Contractors"
1799,"Special Trade Contractors, NEC (building equipment installation contractors for service station equipment; boiler, duct, and pipe insulation; lightning rod installation; bowling alley equipment installation; church bell installation; and clock tower installation)",238290,Other Building Equipment Contractors
1799,"Special Trade Contractors, NEC (paint and wallpaper stripping and removing contractors)",238320,Paint and Wall Covering Contractors
1799,"Special Trade Contractors, NEC (countertop, residential-type, installation)",238350,Finish Carpentry Contractors
1799,"Special Trade Contractors, NEC (building finishing contractors for weather stripping and damp proofing, window covering fixture installation, bathtub refinishing, modular furniture installation, trade show exhibit installation and removal, and spectator seating installation) )",238390,Other Building Finishing Contractors
1799,"Special Trade Contractors, NEC (dewatering contractors, test drilling for construction, and core drilling for construction)",238910,Site Preparation Contractors
1799,"Special Trade Contractors, NEC (except indoor swimming pool contractors; anchored earth retention contractors; glass tinting work; forming contractors; ornamental metal work contractors; lightning rod installation contractors; paint and wall paper removal contractors; countertop, residential-type, installation; miscellaneous residential building finishing contractors; dewatering contractors; test drilling for construction; and core drilling for construction)",238990,All Other Specialty Trade Contractors
1799,"Special Trade Contractors, NEC (power washing building exteriors, not associated with construction)",561790,Other Services to Buildings and Dwellings
1799,"Special Trade Contractors, NEC (asbestos abatement and lead paint removal contractors)",562910,Remediation Services
2011,Meat Packing Plants,311611,Animal (except Poultry) Slaughtering
2013,Sausages and Other Prepared Meat Products (except lard made from purchased materials),311612,Meat Processed from Carcasses 
2013,Sausages and Other Prepared Meat Products (lard made from purchased materials),311613,Rendering and Meat Byproduct Processing
2015,Poultry Slaughtering and Processing (poultry slaughtering and processing),311615,Poultry Processing
2015,Poultry Slaughtering and Processing (egg processing),311999,All Other Miscellaneous Food Manufacturing
2021,Creamery Butter,311512,Creamery Butter Manufacturing
2022,"Natural, Processed, and Imitation Cheese",311513,Cheese Manufacturing
2023,"Dry, Condensed and Evaporated Dairy Products (liquid non-dairy creamer)",311511,Fluid Milk Manufacturing
2023,"Dry, Condensed and Evaporated Dairy Products (except liquid non-dairy creamer)",311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
2024,Ice Cream and Frozen Desserts,311520,Ice Cream and Frozen Dessert Manufacturing
2026,Fluid Milk (except ultra-high temperature),311511,Fluid Milk Manufacturing
2026,Fluid Milk (ultra-high temperature),311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
2032,Canned Specialties (except canned puddings),311422,Specialty Canning
2032,Canned Specialties (canned puddings),311999,All Other Miscellaneous Food Manufacturing
2033,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies",311421,Fruit and Vegetable Canning
2034,"Dried and Dehydrated Fruits, Vegetables and Soup Mixes (vegetable flour)",311211,Flour Milling
2034,"Dried and Dehydrated Fruits, Vegetables and Soup Mixes (except vegetable flour and soup mixes made from purchased dried and dehydrated ingredients)",311423,Dried and Dehydrated Food Manufacturing
2034,"Dried and Dehydrated Fruits, Vegetables, and Soup Mixes (soup mixes made from purchased dehydrated ingredients)",311999,All Other Miscellaneous Food Manufacturing
2035,"Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings (pickled fruits and vegetables)",311421,Fruit and Vegetable Canning
2035,"Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings (sauces and salad dressings)",311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
2037,"Frozen Fruits, Fruit Juices, and Vegetables",311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
2038,"Frozen Specialties, NEC",311412,Frozen Specialty Food Manufacturing
2041,Flour and Other Grain Mill Products,311211,Flour Milling
2043,Cereal Breakfast Foods (cereal breakfast foods and related preparations except grain based coffee substitutes),311230,Breakfast Cereal Manufacturing
2043,Cereal Breakfast Foods (grain based coffee substitutes),311920,Coffee and Tea Manufacturing
2044,Rice Milling,311212,Rice Milling
2045,Prepared Flour Mixes and Doughs,311822,Flour Mixes and Dough Manufacturing from Purchased Flour
2046,Wet Corn Milling (except refining purchased corn oil),311221,Wet Corn Milling
2046,Wet Corn Milling (refining purchased corn oil),311225,Fats and Oils Refining and Blending
2047,Dog and Cat Food,311111,Dog and Cat Food Manufacturing
2048,"Prepared Feeds and Feed Ingredients for Animals and Fowls, Except Dogs and Cats (except slaughtering animals for pet food)",311119,Other Animal Food Manufacturing
2048,"Prepared Feeds and Feed Ingredients for Animals and Fowls, Except Dogs and Cats (slaughtering animals for pet food)",311611,Animal (except Poultry) Slaughtering
2051,"Bread and Other Bakery Products, Except Cookies and Crackers",311812,Commercial Bakeries
2052,Cookies and Crackers (unleavened bread and soft pretzels),311812,Commercial Bakeries
2052,Cookies and Crackers (except unleavened bread and pretzels),311821,Cookie and Cracker Manufacturing
2052,"Cookies and Crackers (hard pretzels and snack pretzels, except soft)",311919,Other Snack Food Manufacturing
2053,"Frozen Bakery Products, Except Bread",311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
2061,"Cane Sugar, Except Refining",311311,Sugarcane Mills
2062,Cane Sugar Refining,311312,Cane Sugar Refining
2063,Beet Sugar,311313,Beet Sugar Manufacturing
2064,Candy and Other Confectionery Products (chocolate confectionery),311330,Confectionery Manufacturing from Purchased  Chocolate 
2064,Candy and Other Confectionery Products (nonchocolate confectionery ),311340,Nonchocolate Confectionery Manufacturing
2066,"Chocolate and Cocoa Products (except chocolate products, made from purchased chocolate)",311320,Chocolate and Confectionery Manufacturing from  Cacao Beans
2066,Chocolate and Cocoa Products (chocolate products made from purchased chocolate),311330,Confectionery Manufacturing from Purchased  Chocolate 
2067,Chewing Gum,311340,Nonchocolate Confectionery Manufacturing
2068,Salted and Roasted Nuts and Seeds,311911,Roasted Nuts and Peanut Butter Manufacturing
2074,Cottonseed Oil Mills (cottonseed processing),311223,Other Oilseed Processing
2074,Cottonseed Oil Mills (processing purchased cottonseed oil),311225,Fats and Oils Refining and Blending
2075,"Soybean Oil Mills (soybean processing, except edible soybean oil)",311222,Soybean Processing
2075,Soybean Oil Mills (processing purchased soybean oil),311225,Fats and Oils Refining and Blending
2076,"Vegetable Oil Mills, Except Corn, Cottonseed, and Soybean (oilseed processing)",311223,Other Oilseed Processing
2076,"Vegetable Oil Mills, Except Corn, Cottonseed, and Soybean (processing purchased vegetable and oilseed oils)",311225,Fats and Oils Refining and Blending
2077,Animal and Marine Fats and Oils (animal fats and oils),311613,Rendering and Meat Byproduct Processing
2077,Animal and Marine Fats and Oils (canned marine fats and oils),311711,Seafood Canning
2077,Animal and Marine Fats and Oils (fresh and frozen marine fats and oils),311712,Fresh and Frozen Seafood Processing
2079,"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, NEC (processing soybean oil into edible cooking oils from soybeans crushed in the same establishment)",311222,Soybean Processing
2079,"Shortening, Table Oils, Margarine and Other Edible Fats and Oils, NEC (processing vegetable oils, except soybean, into edible cooking oils from oilseeds and vegetables crushed in the same establishment)",311223,Other Oilseed Processing
2079,"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, NEC (except processing vegetable and soybean oils into edible oils from oilseeds and vegetables crushed in the same establishment)",311225,Fats and Oils Refining and Blending
2082,Malt Beverages (malt extract),311942,Spice and Extract Manufacturing
2082,Malt Beverages (except malt extract),312120,Breweries
2083,Malt,311213,Malt Manufacturing
2084,"Wines, Brandy, and Brandy Spirits",312130,Wineries
2085,Distilled and Blended Liquors (apple jack),312130,Wineries
2085,Distilled and Blended Liquors (except apple jack),312140,Distilleries
2086,Bottled and Canned Soft Drinks and Carbonated Water (except bottled water),312111,Soft Drink Manufacturing
2086,Bottled and Canned Soft Drinks and Carbonated Water (bottled water),312112,Bottled Water Manufacturing
2087,"Flavoring Extracts and Flavoring Syrups, NEC (coffee flavoring and syrups)",311920,Coffee and Tea Manufacturing
2087,"Flavoring Extracts and Flavoring Syrups, NEC  (flavoring syrups and concentrates except coffee)",311930,Flavoring Syrup and Concentrate Manufacturing
2087,"Flavoring Extracts and Flavoring Syrups, NEC (flavoring extracts and natural food colorings)",311942,Spice and Extract Manufacturing
2087,"Flavoring Extracts and Flavoring Syrups, NEC (powered drink mix)",311999,All Other Miscellaneous Food Manufacturing
2091,Canned and Cured Fish and Seafoods,311711,Seafood Canning
2092,Prepared Fresh or Frozen Fish and Seafoods,311712,Fresh and Frozen Seafood Processing
2095,Roasted Coffee,311920,Coffee and Tea Manufacturing
2096,"Potato Chips, Corn Chips, and Similar Snacks",311919,Other Snack Food Manufacturing
2097,Manufactured Ice,312113,Ice Manufacturing
2098,"Macaroni, Spaghetti, Vermicelli and Noodles",311823,Dry Pasta Manufacturing 
2099,"Food Preparations, NEC (reducing maple sap to maple syrup)",111998,All Other Miscellaneous Crop Farming
2099,"Food Preparations, NEC (rice, uncooked and packaged with other ingredients made in rice mills)",311212,Rice Milling
2099,"Food Preparations, NEC (marshmallow creme)",311340,Nonchocolate Confectionery Manufacturing
2099,"Food Preparations, NEC (bouillon and potatoes dried and packaged with other ingredients produced in dehydrating plants)",311423,Dried and Dehydrated Food Manufacturing
2099,"Food Preparations, NEC (dry pasta packaged with other ingredients made in dry pasta plants)",311823,Dry Pasta Manufacturing 
2099,"Food Preparations, NEC (tortillas)",311830,Tortilla Manufacturing 
2099,"Food Preparations, NEC (peanut butter)",311911,Roasted Nuts and Peanut Butter Manufacturing
2099,"Food Preparations, NEC (tea)",311920,Coffee and Tea Manufacturing
2099,"Food Preparations, NEC (vinegar, prepared dip)",311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
2099,"Food Preparations, NEC (spices, dry dip mix, dry salad dressing mix, and seasoning mix)",311942,Spice and Extract Manufacturing
2099,"Food Preparations, NEC (perishable prepared food)",311991,Perishable Prepared Food Manufacturing
2099,"Food Preparations, NEC (except bouillon, marshmallow creme, spices, peanut butter, perishable prepared foods, tortillas, tea and tea extracts, dry dip mix, prepared dips, dry salad dressing mix, seasoning mix, dried potatoes, pasta, and rice mixed with other ingredients in mills or dehydrating plants, reducing maple sap to maple syrup, wool grease, and vinegar)",311999,All Other Miscellaneous Food Manufacturing
2111,Cigarettes,312221,Cigarette Manufacturing
2121,Cigars,312229,Other Tobacco Product Manufacturing
2131,Chewing and Smoking Tobacco and Snuff,312229,Other Tobacco Product Manufacturing
2141,Tobacco Stemming and Redrying (stemming and redrying tobacco),312210,Tobacco Stemming and Redrying
2141,Tobacco Stemming and Redrying (reconstituted tobacco),312229,Other Tobacco Product Manufacturing
2211,"Broadwoven Fabric Mills, Cotton",313210,Broadwoven Fabric Mills
2221,"Broadwoven Fabric Mills, Manmade Fiber and Silk",313210,Broadwoven Fabric Mills
2231,"Broadwoven Fabric Mills, Wool (Including Dyeing and Finishing) (except finishing wool fabric without weaving wool fabric)",313210,Broadwoven Fabric Mills
2231,"Broadwoven Fabric Mills, Wool (wool broadwoven fabric finishing without weaving fabric)",313311,Broadwoven Fabric Finishing Mills
2231,"Broadwoven Fabric Mills, Wool (wool fabric, except broadwoven, finishing without weaving fabric)",313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills
2241,"Narrow Fabric and Other Smallware Mills: Cotton, Wool, Silk and Manmade Fiber",313221,Narrow Fabric Mills
2251,"Women’s Full-Length and Knee-Length Hosiery, Except Socks (dyeing and finishing sheer hosiery without knitting sheer hosiery)",313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills
2251,"Women’s Full-Length and Knee-Length Hosiery, Except Socks (except dyeing and finishing sheer hosiery without knitting sheer hosiery)",315111,Sheer Hosiery Mills
2252,"Hosiery, NEC (dyeing and finishing hosiery , except sheer, without knitting hosiery)",313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills
